4612,142,141.85
4629,142,141.86
4647,141,141.78
4665,142,141.80
4682,141,141.72
4700,144,141.95
4718,142,141.95
4736,139,141.66
4753,143,141.79
4771,141,141.71
4789,144,141.94
4806,142,141.95
4824,142,141.95
4842,142,141.96
4859,140,141.76
4877,142,141.79
4894,142,141.81
4913,140,141.63
4930,141,141.56
4947,142,141.61
4965,139,141.35
4983,145,141.71
5001,139,141.44
5018,142,141.50
5037,142,141.55
5054,142,141.59
5071,142,141.63
5089,142,141.67
5107,145,142.00
5125,143,142.10
5142,142,142.09
5159,143,142.18
5178,141,142.06
5195,141,141.96
5213,142,141.96
5230,142,141.97
5249,142,141.97
5266,136,141.37
5283,139,141.14
5302,142,141.22
5319,142,141.30
5337,142,141.37
5354,142,141.43
5372,141,141.39
5390,142,141.45
5407,143,141.61
5425,144,141.84
5443,140,141.66
5460,140,141.49
5478,141,141.44
5495,142,141.50
5514,141,141.45
5531,141,141.41
5549,139,141.16
5566,144,141.45
5584,142,141.50
5602,144,141.75
5619,141,141.68
5638,141,141.61
5655,141,141.55
5672,141,141.49
5690,139,141.24
5708,143,141.42
5726,140,141.28
5743,142,141.35
5761,142,141.42
5779,142,141.47
5796,142,141.53
5814,142,141.57
5831,138,141.22
5850,136,140.69
5867,140,140.63
5884,141,140.66
5903,142,140.80
5920,142,140.92
5938,144,141.23
5955,143,141.40
5974,139,141.16
5991,142,141.25
6008,141,141.22
6026,141,141.20
6044,144,141.48
6062,142,141.53
6079,142,141.58
6096,144,141.82
6115,142,141.84
6132,139,141.55
6150,143,141.70
6168,143,141.83
6185,141,141.75
6203,142,141.77
6220,141,141.69
6239,142,141.73
6256,143,141.85
6274,146,142.27
6291,143,142.34
6309,142,142.31
6327,142,142.28
6344,142,142.25
6362,145,142.52
6380,203,148.57
6397,143,148.01
6415,143,147.51
6433,142,146.96
6451,142,146.47
6468,144,146.22
6486,141,145.70
6504,143,145.43
6521,142,145.08
6539,142,144.78
6556,137,144.00
6575,140,143.60
6592,144,143.64
6609,140,143.27
6627,142,143.15
6645,141,142.93
6663,141,142.74
6680,142,142.67
6697,139,142.30
6716,143,142.37
6733,141,142.23
6751,142,142.21
6769,142,142.19
6787,142,142.17
6804,140,141.95
6821,142,141.96
6840,143,142.06
6857,141,141.96
6875,141,141.86
6892,142,141.87
6910,142,141.89
6928,142,141.90
6945,143,142.01
6963,139,141.71
6981,142,141.74
6999,141,141.66
7016,141,141.60
7034,142,141.64
7052,142,141.67
7069,142,141.71
7087,141,141.64
7105,141,141.57
7122,140,141.41
7140,142,141.47
7157,142,141.53
7176,141,141.47
7193,143,141.63
7211,138,141.26
7228,142,141.34
7246,139,141.10
7264,139,140.89
7281,142,141.00
7300,142,141.10
7317,142,141.19
7334,142,141.27
7352,140,141.15
7370,141,141.13
7388,139,140.92
7405,143,141.13
7422,141,141.11
7441,141,141.10
7458,139,140.89
7476,140,140.80
7493,143,141.02
7512,143,141.22
7529,143,141.40
7546,147,141.96
7565,142,141.96
7582,143,142.07
7600,142,142.06
7617,141,141.95
7635,142,141.96
7653,143,142.06
7670,143,142.16
7688,145,142.44
7706,142,142.40
7724,142,142.36
7741,142,142.32
7758,142,142.29
7777,141,142.16
7794,140,141.94
7812,139,141.65
7829,146,142.08
7847,141,141.98
7865,143,142.08
7882,144,142.27
7901,143,142.34
7918,142,142.31
7936,143,142.38
7953,140,142.14
7971,144,142.33
7989,143,142.39
8006,142,142.35
8024,141,142.22
8042,142,142.20
8059,141,142.08
8077,143,142.17
8094,143,142.25
8113,140,142.03
8130,142,142.02
8147,142,142.02
8166,142,142.02
8183,143,142.12
8201,142,142.11
8218,142,142.10
8237,143,142.19
8254,141,142.07
8271,144,142.26
8289,141,142.13
8307,142,142.12
8325,141,142.01
8342,144,142.21
8359,141,142.09
8378,148,142.68
8395,140,142.41
8413,142,142.37
8431,142,142.33
8449,141,142.20
8466,141,142.08
8483,143,142.17
8502,143,142.25
8519,144,142.43
8537,145,142.69
8554,141,142.52
8572,142,142.47
8590,143,142.52
8607,141,142.37
8625,141,142.23
8643,141,142.11
8660,146,142.50
8678,144,142.65
8696,143,142.68
8714,142,142.61
8731,143,142.65
8749,141,142.49
8767,142,142.44
8784,144,142.59
8802,143,142.64
8819,142,142.57
8838,141,142.41
8855,144,142.57
8872,141,142.42
8890,142,142.37
8908,142,142.34
8926,142,142.30
8943,145,142.57
8961,144,142.72
8979,144,142.84
8996,142,142.76
9014,143,142.78
9032,142,142.71
9050,141,142.53
9067,144,142.68
9084,144,142.81
9103,140,142.53
9120,141,142.38
9138,143,142.44
9155,143,142.50
9174,141,142.35
9191,142,142.31
9208,142,142.28
9226,142,142.25
9244,140,142.03
9262,142,142.02
9279,143,142.12
9297,141,142.01
9315,144,142.21
9332,142,142.19
9350,144,142.37
9368,144,142.53
9385,140,142.28
